/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3280.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3281.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3284.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3286.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3287.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3285.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3288.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3290.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3289.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3279.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3278.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3282.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3283.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3291.log:4:This granule has no pixels after masking, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3298.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3296.log:3:This granule does not intersect the NHD, exiting.
/nas/cee-water/cjgleason/fiona/narrow_rivers_PIXC/log_2024_12_04_travis/log_26541512_3297.log:3:This granule does not intersect the NHD, exiting.
